id,longitude,latitude,walk_subway(m),walk_bus(m),car_airport(m)
684991,-73.97887,40.74793,468,67.0,12792.0
690603,-73.95121,40.67595,651,141.0,22343.0
761835,-73.92707,40.76592,671,1194.0,6146.0
618916,-73.96445,40.67924,529,39.0,15468.0
634353,-73.98591,40.77416,444,190.0,15544.0
639199,-74.24135,40.50863,1226,518.0,30364.0
762015,-73.92833,40.70024,450,278.0,11440.0
762145,-73.98221,40.78349,264,222.0,16715.0
762426,-73.96113,40.7988,405,11.0,12564.0
690934,-73.9769,40.68169,203,25.0,16994.0
695216,-73.9711,40.69106,667,246.0,14504.0
698132,-73.93662,40.69149,826,27.0,13286.0
698298,-73.99789,40.7222,118,144.0,15491.0
765315,-73.96042914624614,40.710065068054384,421,373.0,17324.0
765563,-73.7616,40.7565,6999,284.0,21607.0
828130,-73.96284,40.66255,112,107.0,17375.0
828553,-73.98694,40.73298,124,14.0,14583.0
828616,-73.93348,40.66559,501,215.0,21087.0
836720,-73.8381,40.78365,2954,276.0,7458.0
837503,-73.95725161773552,40.69135263700129,469,65.0,13795.0
838070,-73.99197,40.66241,484,44.0,20913.0
765569,-73.98324,40.69619,690,13.0,15097.0
767286,-73.97383419264895,40.79497173980575,189,71.0,14034.0
699472,-73.954689,40.709278,405,128.0,11996.0
703971,-73.95088,40.6582,187,82.0,23203.0
704838,-73.89686,40.74836,216,1176.0,4318.0
705749,-74.08902,40.60066,832,464.0,23372.0
705997,-73.99279,40.66044,805,199.0,19994.0
707396,-73.9805,40.72544,842,200.0,15113.0
711635,-73.98731,40.7288,378,65.0,15900.0
712127,-74.09024,40.60194,1162,317.0,22701.0
840731,-73.98985,40.73172,261,98.0,16328.0
844319,-73.95882,40.63145,447,259.0,26646.0
846854,-73.97226,40.78711,319,113.0,14197.0
847648,-73.94468,40.82771,417,118.0,12800.0
773885,-73.95317,40.69908,373,72.0,13631.0
774791,-73.8236,40.75493,772,55.0,6729.0
776257,-73.9596,40.71918,318,201.0,12167.0
777327,-73.96377,40.64075,21,620.0,20008.0
779838,-73.97135,40.79865,371,319.0,13612.0
783202,-74.00267,40.73277,141,137.0,17345.0
783341,-73.98401,40.71562,526,66.0,15486.0
848718,-73.9569,40.66077,657,76.0,23405.0
850338,-73.9453,40.71586,244,107.0,11423.0
850517,-73.91286,40.68769,444,130.0,19066.0
850712,-73.99946608183235,40.72959300603329,416,251.0,16455.0
850943,-73.96459,40.71204,837,171.0,12678.0
852118,-73.95866,40.67506,184,159.0,16205.0
712260,-73.99473,40.68176,236,101.0,17521.0
713538,-73.96142,40.68375,502,165.0,15174.0
714049,-73.89746,40.74874,175,1272.0,4318.0
723709,-73.95775,40.80351,466,25.0,11971.0
727512,-73.9535,40.73756,855,182.0,11490.0
784122,-73.91538,40.68139,579,133.0,19044.0
784124,-73.91372,40.68175,445,118.0,18899.0
736187,-73.95004,40.72516,319,124.0,11139.0
739239,-73.97454,40.78615,463,276.0,14963.0
739242,-73.97435,40.78552,526,129.0,15011.0
740754,-73.91625,40.76797,510,441.0,4881.0
747316,-73.96089172363281,40.79995346069336,337,40.0,12570.0
852632,-73.99365,40.66822,421,69.0,20281.0
853142,-73.93977,40.83783,207,70.0,14147.0
854396,-73.92446,40.70943,383,271.0,10274.0
856918,-73.98259,40.67562,274,213.0,17806.0
857810,-73.94752,40.71301,352,170.0,11431.0
864981,-74.00886,40.64805,168,133.0,32587.0
786685,-73.94954,40.82293,578,67.0,12206.0
787060,-73.98017,40.74793,286,178.0,13025.0
788005,-73.96849,40.67617,294,125.0,16143.0
748118,-73.95354,40.73737,875,202.0,11484.0
749276,-73.90362,40.69266,474,56.0,17713.0
752289,-74.00094,40.72734,370,20.0,16413.0
951365,-73.91654,40.70875,885,353.0,10176.0
951439,-73.97451,40.7826,347,84.0,14720.0
953314,-73.98362,40.74322,74,160.0,13600.0
867020,-73.95815,40.73336,545,24.0,11126.0
873701,-73.95717,40.67117,154,121.0,22962.0
874706,-73.97307,40.64541,970,56.0,23503.0
876355,-73.960243,40.814278,298,73.0,11805.0
794156,-73.98071,40.77149,283,93.0,14762.0
804194,-73.9399195,40.7072505,63,41.0,11682.0
883480,-73.96349,40.80196,403,166.0,12572.0
886808,-73.80999,40.75087,2329,430.0,10497.0
887355,-73.97187,40.74558,1012,69.0,13219.0
890794,-73.89253,40.75218,608,1273.0,5079.0
890839,-73.96535,40.6799,497,164.0,15769.0
805028,-73.98082,40.68248,314,191.0,17066.0
956412,-73.98719,40.70218,148,140.0,16432.0
958444,-73.78768,40.8524,4618,171.0,20504.0
973535,-73.88991,40.76514,2436,155.0,2209.0
973653,-73.94,40.82405,876,155.0,12182.0
975250,-73.92466,40.69063,253,41.0,12583.0
975990,-73.99525,40.6947,388,556.0,16476.0
978386,-73.91811,40.75725,348,1869.0,4991.0
805218,-73.95187,40.73091,284,85.0,10516.0
808476,-73.94943,40.83485,656,667.0,14470.0
811238,-73.94696,40.8055,296,92.0,10928.0
813225,-73.97196,40.69098,702,150.0,14906.0
896535,-73.97092,40.78605,217,79.0,14127.0
904060,-73.95925,40.68533,409,7.0,14694.0
909859,-73.97575,40.67294,640,131.0,18116.0
918049,-73.99512,40.73976,194,10.0,15094.0
982038,-73.97261,40.68921,506,150.0,14890.0
982276,-73.99382,40.71196,481,46.0,15502.0
983625,-73.94497,40.80558,347,84.0,10448.0
986727,-73.94124,40.80825,519,13.0,10837.0
990367,-73.94861,40.8066,414,162.0,10886.0
814327,-73.95034,40.76963,961,138.0,13297.0
816888,-73.93459,40.85551,597,232.0,16838.0
817113,-73.94803,40.67265,490,81.0,22405.0
818325,-73.97561,40.74326,700,160.0,13130.0
919830,-73.99857,40.7458,66,144.0,15572.0
921500,-73.95179,40.67075,205,122.0,22508.0
927408,-73.96468,40.68767,240,111.0,14348.0
818481,-73.95605,40.82106,291,229.0,13828.0
990529,-73.97196,40.74936,428,6.0,13240.0
993514,-73.97271,40.78566,450,71.0,14348.0
