id,walk_subway(m),walk_bus(m),car_airport(m)
1108309,1196,189.0,22674.0
1457505,796,226.0,20235.0
1461965,849,127.0,22472.0
1465446,453,57.0,10618.0
1221962,188,103.0,14764.0
1245479,228,94.0,11514.0
1255828,231,85.0,16917.0
1256670,163,180.0,12914.0
1258651,471,78.0,10835.0
1474752,606,159.0,11436.0
1475084,240,12.0,14997.0
1117706,512,91.0,11652.0
1118031,102,111.0,15182.0
1123737,97,112.0,13724.0
1126492,238,76.0,15457.0
1127770,376,153.0,10670.0
1130680,480,41.0,18740.0
1131804,336,110.0,10573.0
1478946,351,135.0,14581.0
1479283,432,136.0,14714.0
1480002,223,185.0,14754.0
1263964,359,82.0,11321.0
1268154,2266,404.0,8051.0
1278784,245,159.0,10564.0
1279234,399,112.0,22701.0
1486099,1072,202.0,9731.0
1491991,429,132.0,17790.0
1506985,639,114.0,10339.0
1137093,376,153.0,10670.0
1137270,172,57.0,14554.0
1696381,385,7.0,10092.0
1702533,193,115.0,17220.0
1702781,632,1504.0,5951.0
1707850,309,118.0,23048.0
1511303,288,85.0,23495.0
1281257,146,294.0,17097.0
1284776,325,343.0,18097.0
1291020,345,159.0,18781.0
1294973,330,113.0,15518.0
1530386,50,8.0,15829.0
1712660,174,68.0,11855.0
1717058,75,104.0,15209.0
1717226,421,286.0,21231.0
1722101,830,40.0,15160.0
1724731,795,91.0,16167.0
1533652,251,232.0,14607.0
1534212,1031,258.0,24042.0
1549413,149,129.0,10958.0
1555491,327,80.0,12734.0
1304459,418,195.0,11919.0
1305346,216,97.0,15794.0
1307095,96,37.0,16013.0
1307228,80,223.0,10377.0
1307723,128,70.0,12725.0
1313711,134,139.0,23055.0
1325432,540,1432.0,5770.0
1731245,894,268.0,19925.0
1731365,282,132.0,13764.0
1734724,351,70.0,11146.0
1735804,467,131.0,13142.0
1739847,1255,294.0,13610.0
1581579,602,1016.0,5565.0
1591811,460,46.0,12214.0
1604488,730,117.0,12369.0
1604489,160,212.0,14606.0
1606312,495,59.0,11050.0
1617443,379,94.0,11437.0
1331960,526,156.0,13881.0
1332473,4629,214.0,15500.0
1336223,432,136.0,14714.0
1336230,378,82.0,14676.0
1342443,223,289.0,8965.0
1349187,638,140.0,22152.0
1349658,523,141.0,11843.0
1617488,486,96.0,13771.0
1742654,323,92.0,14462.0
1744709,172,179.0,19647.0
1745358,480,92.0,15349.0
1750248,494,143.0,11230.0
1750679,128,140.0,22417.0
1753671,309,194.0,10756.0
1754876,556,62.0,20481.0
